Question,Answer
"What popular Christmas beverage is also called ""milk punch""?","Eggnog"
"In the song ""Twelve Days of Christmas"", what is given on the 5th day?","Five Golden Rings"
"In ""Home Alone"", where are the McCallisters going on vacation when they leave Kevin behind?","Paris"
"What is the name of the Grinch's dog?","Max"
"Which real-life department store is featured in ""Miracle on 34th Street""?","Macy's"
"Who is known as the ""King of Bollywood""?","Shah Rukh Khan"
"Which iconic Bollywood movie features the dialogue ""Kitne aadmi the""?","Sholay"
"In ""Dilwale Dulhania Le Jayenge"", in which country do Raj and Simran meet?","Switzerland"
"Who played the role of Rancho in the movie ""3 Idiots""?","Aamir Khan"
"Which Bollywood movie is the longest-running film in Indian cinema history?","Dilwale Dulhania Le Jayenge"
"Who directed the 1997 movie ""Titanic""?","James Cameron"
"Which movie features the famous line ""I'll be back""?","The Terminator"
"Who played Iron Man in the Marvel Cinematic Universe?","Robert Downey Jr."
"What is the name of the fictional kingdom in ""Black Panther""?","Wakanda"
"Which film won the first ever Academy Award for Best Picture?","Wings"
"What was the first Indian sound film released in 1931?","Alam Ara"
"Which movie features the famous dialogue ""Pushpa, I hate tears""?","Amar Prem"
"Which actor is popularly known as ""Big B""?","Amitabh Bachchan"
"Which film features the song ""Chaiyya Chaiyya"" shot on a moving train?","Dil Se"
"Complete the dialogue: ""Don ko pakadna mushkil hi nahi...""","Namumkin hai"
"What is the name of Aamir Khan's character in the Oscar-nominated movie ""Lagaan""?","Bhuvan"
"Which actress made her Bollywood debut in the movie ""Om Shanti Om""?","Deepika Padukone"
"Which movie gave us the dialogue ""Thappad se darr nahi lagta sahab, pyaar se lagta hai""?","Dabangg"
"Which 2001 movie is about three friends traveling to Goa together?","Dil Chahta Hai"
"In ""3 Idiots"", what is the real name of the character Rancho?","Phunsukh Wangdu"
"Which movie features the iconic villain ""Mogambo""?","Mr. India"
"Which classic film was India's first submission to the Oscars for Best Foreign Language Film?","Mother India"
"Who played the role of ""Circuit"" in the Munna Bhai series?","Arshad Warsi"
"In ""Jab We Met"", what is the name of Kareena Kapoor's talkative character?","Geet"
"Which movie is known for the dialogue ""Mere paas maa hai""?","Deewaar"
